timestamp, utilization.gpu [%], power.draw [W]
2026/03/03 11:02:28.081, 6 %, 5.55 W
2026/03/03 11:02:29.081, 5 %, 5.46 W
2026/03/03 11:02:30.082, 6 %, 5.35 W
2026/03/03 11:02:31.082, 5 %, 5.59 W
2026/03/03 11:02:32.083, 0 %, 4.73 W
2026/03/03 11:02:33.083, 6 %, 6.13 W
2026/03/03 11:02:34.084, 3 %, 7.75 W
2026/03/03 11:02:35.084, 0 %, 10.25 W
2026/03/03 11:02:36.085, 0 %, 10.23 W
2026/03/03 11:02:37.085, 7 %, 10.33 W
2026/03/03 11:02:38.086, 4 %, 11.91 W
2026/03/03 11:02:39.086, 5 %, 11.51 W
2026/03/03 11:02:40.087, 4 %, 11.65 W
