timestamp, utilization.gpu [%], power.draw [W], utilization.memory [%], temperature.gpu
2026/03/03 14:42:59.784, 0 %, 10.30 W,,
2026/03/03 14:43:00.785, 32 %, 11.30 W,,
2026/03/03 14:43:01.786, 0 %, 10.59 W,,
2026/03/03 14:43:02.786, 0 %, 11.43 W,,
2026/03/03 14:43:03.787, 0 %, 11.22 W,,
2026/03/03 14:43:04.787, 0 %, 10.72 W,,
2026/03/03 14:43:05.787, 0 %, 10.61 W,,
2026/03/03 14:43:06.788, 1 %, 10.74 W,,
2026/03/03 14:43:07.788, 0 %, 10.31 W,,
2026/03/03 14:43:08.789, 0 %, 10.27 W,,
2026/03/03 14:43:09.789, 0 %, 10.28 W,,
2026/03/03 14:43:10.790, 0 %, 10.30 W,,
2026/03/03 14:43:11.790, 0 %, 10.60 W,,
2026/03/03 14:43:12.791, 0 %, 10.66 W,,
2026/03/03 14:43:13.791, 0 %, 10.56 W,,
2026/03/03 14:43:14.792, 12 %, 10.84 W,,
2026/03/03 14:43:15.792, 0 %, 11.04 W,,
2026/03/03 14:43:16.793, 0 %, 10.28 W,,
2026/03/03 14:43:17.794, 0 %, 5.30 W,,
2026/03/03 14:43:18.794, 0 %, 4.64 W,,
2026/03/03 14:43:19.795, 0 %, 4.64 W,,
2026/03/03 14:43:20.795, 0 %, 4.20 W,,
2026/03/03 14:43:21.796, 0 %, 4.32 W,,
2026/03/03 14:43:22.796, 0 %, 4.26 W,,
2026/03/03 14:43:23.797, 0 %, 7.49 W,,
2026/03/03 14:43:24.797, 0 %, 10.26 W,,
2026/03/03 14:43:25.798, 0 %, 10.28 W,,
2026/03/03 14:43:26.798, 28 %, 10.71 W,,
2026/03/03 14:43:27.799, 0 %, 10.83 W,,
2026/03/03 14:43:28.799, 0 %, 11.10 W,,
2026/03/03 14:43:29.799, 0 %, 11.26 W,,
2026/03/03 14:43:30.800, 0 %, 10.88 W,,
2026/03/03 14:43:31.800, 0 %, 10.66 W,,
2026/03/03 14:43:32.801, 0 %, 10.60 W,,
2026/03/03 14:43:33.801, 0 %, 10.25 W,,
2026/03/03 14:43:34.801, 0 %, 10.25 W,,
2026/03/03 14:43:35.802, 0 %, 10.51 W,,
2026/03/03 14:43:36.802, 1 %, 10.39 W,,
2026/03/03 14:43:37.803, 0 %, 10.73 W,,
2026/03/03 14:43:38.803, 12 %, 10.72 W,,
2026/03/03 14:43:39.804, 1 %, 11.12 W,,
2026/03/03 14:43:40.805, 0 %, 10.26 W,,
2026/03/03 14:43:41.805, 0 %, 5.30 W,,
2026/03/03 14:43:42.806, 3 %, 5.64 W,,
2026/03/03 14:43:43.806, 0 %, 10.41 W,,
2026/03/03 14:43:44.807, 0 %, 10.28 W,,
2026/03/03 14:43:45.807, 0 %, 10.27 W,,
2026/03/03 14:43:46.808, 21 %, 11.16 W,,
2026/03/03 14:43:47.808, 0 %, 10.63 W,,
2026/03/03 14:43:48.809, 0 %, 11.29 W,,
2026/03/03 14:43:49.809, 0 %, 11.34 W,,
2026/03/03 14:43:50.810, 0 %, 10.56 W,,
2026/03/03 14:43:51.810, 3 %, 10.64 W,,
2026/03/03 14:43:52.811, 0 %, 10.56 W,,
2026/03/03 14:43:53.811, 0 %, 10.30 W,,
2026/03/03 14:43:54.812, 0 %, 10.29 W,,
2026/03/03 14:43:55.813, 0 %, 10.52 W,,
2026/03/03 14:43:56.813, 0 %, 10.23 W,,
2026/03/03 14:43:57.813, 0 %, 10.24 W,,
2026/03/03 14:43:58.813, 0 %, 10.76 W,,
2026/03/03 14:43:59.814, 0 %, 10.55 W,,
2026/03/03 14:44:00.814, 0 %, 10.68 W,,
2026/03/03 14:44:01.814, 0 %, 11.38 W,,
2026/03/03 14:44:02.815, 0 %, 10.30 W,,
2026/03/03 14:44:03.815, 0 %, 5.31 W,,
2026/03/03 14:44:04.816, 0 %, 4.65 W,,
2026/03/03 14:44:05.816, 0 %, 8.44 W,,
2026/03/03 14:44:06.816, 0 %, 10.28 W,,
2026/03/03 14:44:07.816, 0 %, 10.28 W,,
2026/03/03 14:44:08.817, 27 %, 10.75 W,,
2026/03/03 14:44:09.817, 0 %, 10.77 W,,
2026/03/03 14:44:10.818, 0 %, 11.27 W,,
2026/03/03 14:44:11.818, 0 %, 11.35 W,,
2026/03/03 14:44:12.818, 0 %, 10.69 W,,
2026/03/03 14:44:13.818, 3 %, 10.49 W,,
2026/03/03 14:44:14.819, 0 %, 10.66 W,,
2026/03/03 14:44:15.819, 0 %, 10.27 W,,
2026/03/03 14:44:16.819, 0 %, 10.52 W,,
2026/03/03 14:44:17.820, 0 %, 10.28 W,,
2026/03/03 14:44:18.820, 0 %, 10.25 W,,
2026/03/03 14:44:19.820, 0 %, 10.71 W,,
2026/03/03 14:44:20.820, 0 %, 10.72 W,,
2026/03/03 14:44:21.821, 0 %, 10.63 W,,
2026/03/03 14:44:22.821, 13 %, 11.30 W,,
2026/03/03 14:44:23.821, 0 %, 10.54 W,,
2026/03/03 14:44:24.822, 0 %, 5.22 W,,
2026/03/03 14:44:25.822, 0 %, 4.66 W,,
2026/03/03 14:44:26.823, 0 %, 9.04 W,,
2026/03/03 14:44:27.824, 0 %, 10.27 W,,
2026/03/03 14:44:28.824, 0 %, 10.27 W,,
2026/03/03 14:44:29.825, 0 %, 10.35 W,,
2026/03/03 14:44:30.825, 0 %, 11.21 W,,
2026/03/03 14:44:31.826, 0 %, 11.10 W,,
2026/03/03 14:44:32.826, 0 %, 11.38 W,,
2026/03/03 14:44:33.827, 0 %, 11.33 W,,
2026/03/03 14:44:34.827, 0 %, 10.38 W,,
2026/03/03 14:44:35.827, 1 %, 10.55 W,,
2026/03/03 14:44:36.827, 0 %, 10.36 W,,
2026/03/03 14:44:37.827, 0 %, 10.25 W,,
2026/03/03 14:44:38.827, 0 %, 10.23 W,,
2026/03/03 14:44:39.828, 0 %, 10.25 W,,
2026/03/03 14:44:40.828, 0 %, 10.51 W,,
2026/03/03 14:44:41.828, 0 %, 11.27 W,,
2026/03/03 14:44:42.828, 12 %, 10.92 W,,
2026/03/03 14:44:43.829, 0 %, 10.91 W,,
2026/03/03 14:44:44.829, 0 %, 10.26 W,,
